,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
0,19631425.612603877,95.0,0.0,95.0,0.0,329.0,0.0,450.0,0.0,450.0,0.0
1,19906917.02429048,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
2,20238383.95031731,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
3,19151737.53675537,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
4,18649955.073885716,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0
5,19664806.31145854,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
6,20443090.94504583,212.0,0.0,429.0,0.0,371.0,0.0,371.0,0.0,273.0,0.0
7,18856524.49486756,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
8,18864588.803449884,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
9,19781488.152441073,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,9.0,0.038000000000000006
10,19647782.859377272,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
11,18785472.63007532,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
12,19689245.695943527,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
13,20292267.347616762,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
14,19394907.793365847,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,165.0,0.0
15,18743195.202461097,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
16,19721103.018893745,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
17,19122196.750398643,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,17.0,0.036000000000000004
18,19625270.636335142,95.0,0.0,95.0,0.0,329.0,0.0,450.0,0.0,450.0,0.0
19,19342411.08198212,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,19.0,0.04600000000000001
20,18860497.948907696,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.02800000000000001
21,19164509.78439852,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
22,19140697.692588832,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,17.0,0.0
23,19454081.83107315,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
24,19520567.71646866,269.0,0.0,269.0,0.0,269.0,0.0,52.0,0.0,52.0,0.0
25,20040461.797753304,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,116.0,0.0
26,18364939.606122006,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,457.0,0.0
27,19173488.598048743,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
28,19680591.597828157,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
29,19822866.09539105,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
30,19437022.105929594,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
31,19594766.704979707,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
32,20088329.89687941,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,116.0,0.0
33,19714757.655805394,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
34,19796502.97728695,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,9.0,0.0
35,18835675.73102237,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,20.0,0.0
36,19484572.71415949,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
37,19602574.52021672,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
38,20079635.345685225,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,116.0,0.0
39,20157997.874289777,212.0,0.0,429.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
40,19185922.815584954,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
41,19590213.43153854,269.0,0.0,269.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
42,19045025.97110606,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
43,18798722.93375263,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
44,19821624.05361977,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
45,18694923.131486062,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
46,19177822.41769967,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
47,19555311.81433693,269.0,0.0,269.0,0.0,329.0,0.0,52.0,0.0,52.0,0.0
48,19657955.21717971,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
49,19328988.251304176,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,19.0,0.0
50,19257459.087115347,314.0,0.0,420.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
51,19405623.93577817,269.0,0.0,269.0,0.0,269.0,0.0,165.0,0.0,165.0,0.0
52,19531824.453232646,269.0,0.0,269.0,0.0,329.0,0.0,52.0,0.054000000000000006,52.0,0.054000000000000006
53,19083390.884713456,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
54,19995463.68620299,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
55,19082519.878707867,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
56,19726864.125078958,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
57,19513040.440348472,269.0,0.0,269.0,0.0,269.0,0.0,52.0,0.0,52.0,0.0
58,19547635.949732043,269.0,0.0,269.0,0.0,329.0,0.0,52.0,0.0,52.0,0.0
59,19231068.632273156,314.0,0.0,181.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
60,19543322.417664632,269.0,0.0,269.0,0.0,329.0,0.0,52.0,0.0,52.0,0.0
61,19244658.78303467,314.0,0.0,420.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
62,19107371.42629941,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,17.0,0.0
63,19211772.509545352,314.0,0.0,181.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
64,19994311.232528836,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
65,19060830.963149913,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
66,18615068.135261405,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0
67,19031943.91894602,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,248.0,0.0
68,18932219.942833286,314.0,0.0,314.0,0.0,104.0,0.0,104.0,0.0,104.0,0.0
69,19472754.51415559,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
70,19855440.541344337,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
71,19212644.947870485,314.0,0.0,181.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
72,20121360.051136058,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
73,19894975.696752217,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
74,19679672.8759872,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
75,19472260.916427493,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
76,19359059.12286004,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,19.0,0.0
77,19155008.976799328,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
78,18622094.932912447,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0
79,19282644.915294748,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0
80,19238946.951373953,314.0,0.0,181.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
81,20132920.81849583,212.0,0.0,212.0,0.0,81.0,0.048,81.0,0.048,81.0,0.04000000000000001
82,19326215.001284044,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0
83,19987310.769691784,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
84,20270060.700502653,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
85,19872030.313762046,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
86,18742864.95671976,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
87,20105301.247221284,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
88,19530259.080735456,269.0,0.0,269.0,0.0,269.0,0.0,52.0,0.0,52.0,0.0
89,19201076.21649614,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
90,19804848.255225357,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
91,20091485.09367221,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
92,19327233.282503773,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,19.0,0.0
93,19786918.593846727,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,9.0,0.0
94,19421491.02808458,269.0,0.0,269.0,0.0,269.0,0.0,165.0,0.0,166.0,0.0
95,19702042.72472091,95.0,0.20200000000000007,95.0,0.138,95.0,0.098,95.0,0.06200000000000001,95.0,0.054000000000000006
96,19560131.03483151,269.0,0.0,269.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
97,19826116.24473248,95.0,0.0,97.0,0.10400000000000001,97.0,0.10400000000000001,97.0,0.064,97.0,0.034
98,19333273.107384168,269.0,0.0,420.0,0.0,420.0,0.0,420.0,0.0,19.0,0.0
99,19485858.737267576,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
100,18842318.80022114,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,20.0,0.0
101,20077062.184699256,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,116.0,0.0
102,19033039.57466088,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,248.0,0.0
103,20449795.25984949,212.0,0.0,429.0,0.0,371.0,0.0,371.0,0.0,273.0,0.0
104,18904287.04208127,139.0,0.0,139.0,0.0,104.0,0.05600000000000001,104.0,0.05600000000000001,104.0,0.022000000000000006
105,19128420.200381253,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,17.0,0.0
106,19347565.1357492,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,19.0,0.0
107,19166449.69640395,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
108,19541142.220987517,269.0,0.0,269.0,0.0,329.0,0.0,52.0,0.0,52.0,0.0
109,19253626.867821418,314.0,0.0,420.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
110,19662664.03676189,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
111,19218859.605802424,314.0,0.0,181.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
112,20382789.992577072,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,273.0,0.0
113,20017140.935824644,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
114,19786771.270678535,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,9.0,0.0
115,18854506.018583976,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,20.0,0.0
116,20049333.70720673,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,116.0,0.02600000000000001
117,19703955.932160884,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
118,19633748.1861625,95.0,0.0,95.0,0.0,329.0,0.0,450.0,0.0,450.0,0.0
119,19614832.31738841,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
