,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
0,352528482.90925694,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
1,350822009.60686165,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
2,356047216.4077272,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0
3,341580352.0503628,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
4,340750715.29652596,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
5,350705630.0707755,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
6,361005567.0657272,245.0,0.0,6.0,0.018000000000000002,6.0,0.018000000000000002,6.0,0.012,6.0,0.012
7,344967634.3282304,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
8,344095993.06593496,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
9,346271198.8098292,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
10,345959347.5654637,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
11,335768311.2020447,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0
12,351049484.269603,380.0,0.0,380.0,0.0,380.0,0.0,422.0,0.0,422.0,0.0
13,350569504.442605,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
14,347378574.33996236,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
15,338673401.4880094,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
16,347344744.45461863,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
17,342899717.21316284,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
18,346601787.7793777,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
19,347123629.7887951,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
20,343856371.42399085,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
21,345667847.85740346,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,97.0,0.0
22,341680377.7001838,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
23,344836754.19556963,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
24,341758517.6902114,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
25,353519537.8291399,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
26,332391754.45402753,386.0,0.0,313.0,0.0,313.0,0.0,26.0,0.004,26.0,0.004
27,344157921.30762655,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
28,346913438.5866993,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
29,354379874.569848,245.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,429.0,0.0
30,348110858.47757286,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
31,345837492.97511744,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
32,354456052.8306321,245.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,429.0,0.0
33,353030131.928066,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
34,348462261.4618341,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
35,342489185.77999336,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,35.0,0.036000000000000004
36,343553288.1163717,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
37,347385033.5123553,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
38,353049424.5813613,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
39,347594462.1056833,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
40,341550030.76216984,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
41,347979550.72895986,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
42,343773265.59709954,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
43,337817908.026172,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,248.0,0.0
44,346438618.5447859,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
45,340843388.45333624,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
46,344286335.11412144,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
47,352069139.48958063,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
48,346881867.352298,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
49,340273932.8564574,386.0,0.0,401.0,0.0,100.0,0.0,100.0,0.0,49.0,0.02600000000000001
50,343529807.7012779,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
51,341120724.34447604,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
52,345278065.63243604,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
53,341976399.0286188,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
54,350734112.3027251,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
55,343080455.1271405,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
56,349806504.7379177,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
57,340464203.0569707,386.0,0.0,401.0,0.0,100.0,0.0,100.0,0.0,49.0,0.0
58,357482455.5483514,245.0,0.0,245.0,0.0,245.0,0.0,278.0,0.0,278.0,0.0
59,342372914.01161367,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
60,346971121.42766106,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.06000000000000001,60.0,0.06000000000000001
61,342415987.44337857,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
62,343740746.1792085,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
63,342613432.2678456,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,35.0,0.0
64,355519979.1075286,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,429.0,0.0
65,344081604.4365905,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
66,336421376.39253545,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0
67,341131155.855023,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
68,340099093.8977238,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,49.0,0.0
69,346923244.6236192,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
70,348751068.7658768,70.0,0.18200000000000005,70.0,0.18200000000000005,70.0,0.07600000000000001,70.0,0.07600000000000001,70.0,0.04000000000000001
71,344620200.2426375,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
72,351812357.1990108,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
73,346541899.75430924,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
74,345844359.9534662,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
75,346790570.9228248,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
76,343041226.6414573,386.0,0.0,254.0,0.0,76.0,0.08,76.0,0.08,76.0,0.034
77,344741111.4145399,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
78,340175555.631443,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,49.0,0.0
79,346706186.728666,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
80,344845767.4360344,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
81,353176855.92408574,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
82,344575139.4646662,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,262.0,0.0
83,348145475.52176416,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
84,355634773.905541,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,429.0,0.0
85,348724984.961228,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
86,338554652.9114989,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
87,354536355.4603614,245.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,429.0,0.0
88,350408120.24717,380.0,0.0,380.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
89,348121841.42373323,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
90,349664998.9179643,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
91,355389247.9847788,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,429.0,0.0
92,344089252.68037444,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
93,346187772.9066277,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
94,349081179.21712035,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
95,349345146.1807492,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
96,350622198.3237118,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
97,345766365.30327094,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.04400000000000001
98,342120193.4017913,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
99,347297550.0232216,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
100,340824832.7854994,386.0,0.0,386.0,0.0,100.0,0.054000000000000006,100.0,0.054000000000000006,100.0,0.04000000000000001
101,351308975.61977136,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
102,342372200.64535135,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
103,355238344.780514,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,429.0,0.0
104,336615643.29828876,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0
105,341449986.3570219,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
106,346205208.38138115,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
107,344922175.28633136,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
108,343565810.2581018,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
109,343012566.5081222,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
110,345112062.5696767,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
111,347230748.2179798,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
112,358550580.09773976,245.0,0.0,245.0,0.0,245.0,0.0,278.0,0.0,278.0,0.0
113,350527176.4189542,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
114,349768274.0274866,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.02800000000000001
115,345526598.9682388,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,97.0,0.0
116,352331404.16469526,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
117,349338701.7630726,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
118,347381098.2313535,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
119,346946060.4748459,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
120,350168095.643529,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
121,344213681.97300273,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
122,344334258.13084215,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
123,335164153.7578395,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0
124,345041841.96761924,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
125,345046756.26087356,321.0,0.0,254.0,0.0,125.0,0.07800000000000001,125.0,0.07800000000000001,125.0,0.038000000000000006
126,343746976.8075824,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
127,345443610.6643189,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,97.0,0.0
128,348479299.677217,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
129,349036487.4496848,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
130,345810329.66668963,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
131,343591639.0014583,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.048
132,339793216.9906884,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0
133,351852997.91753054,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
134,352006518.3573031,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
135,350120345.15151006,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
136,346399147.35897315,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
137,349955015.4377791,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
138,349901206.2760567,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
139,341809749.53366446,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
140,348864669.7910164,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
141,347506457.80734754,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
142,345290428.5683774,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
143,357374097.3602285,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0
144,348562222.07605195,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
145,350516531.06890035,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
146,338452822.1488768,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
147,343314309.2496952,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
148,349197995.68816066,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
149,341903735.5903117,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
150,342230490.7110573,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
