,cluster_num
2016-01-01,2
2016-01-02,14
2016-01-03,14
2016-01-04,2
2016-01-05,2
2016-01-06,2
2016-01-07,2
2016-01-08,2
2016-01-09,14
2016-01-10,14
2016-01-11,2
2016-01-12,2
2016-01-13,2
2016-01-14,2
2016-01-15,2
2016-01-16,14
2016-01-17,14
2016-01-18,2
2016-01-19,2
2016-01-20,2
2016-01-21,2
2016-01-22,2
2016-01-23,14
2016-01-24,14
2016-01-25,2
2016-01-26,2
2016-01-27,2
2016-01-28,2
2016-01-29,2
2016-01-30,14
2016-01-31,14
2016-02-01,3
2016-02-02,3
2016-02-03,3
2016-02-04,3
2016-02-05,3
2016-02-06,15
2016-02-07,15
2016-02-08,3
2016-02-09,3
2016-02-10,3
2016-02-11,3
2016-02-12,3
2016-02-13,15
2016-02-14,15
2016-02-15,3
2016-02-16,3
2016-02-17,3
2016-02-18,3
2016-02-19,3
2016-02-20,15
2016-02-21,15
2016-02-22,3
2016-02-23,3
2016-02-24,3
2016-02-25,3
2016-02-26,3
2016-02-27,15
2016-02-28,15
2016-02-29,3
2016-03-01,4
2016-03-02,4
2016-03-03,4
2016-03-04,4
2016-03-05,16
2016-03-06,16
2016-03-07,4
2016-03-08,4
2016-03-09,4
2016-03-10,4
2016-03-11,4
2016-03-12,16
2016-03-13,16
2016-03-14,4
2016-03-15,4
2016-03-16,4
2016-03-17,4
2016-03-18,4
2016-03-19,16
2016-03-20,16
2016-03-21,4
2016-03-22,4
2016-03-23,4
2016-03-24,4
2016-03-25,4
2016-03-26,16
2016-03-27,16
2016-03-28,4
2016-03-29,4
2016-03-30,4
2016-03-31,4
2016-04-01,5
2016-04-02,17
2016-04-03,17
2016-04-04,5
2016-04-05,5
2016-04-06,5
2016-04-07,5
2016-04-08,5
2016-04-09,17
2016-04-10,17
2016-04-11,5
2016-04-12,5
2016-04-13,5
2016-04-14,5
2016-04-15,5
2016-04-16,17
2016-04-17,17
2016-04-18,5
2016-04-19,5
2016-04-20,5
2016-04-21,5
2016-04-22,5
2016-04-23,17
2016-04-24,17
2016-04-25,5
2016-04-26,5
2016-04-27,5
2016-04-28,5
2016-04-29,5
2016-04-30,17
2016-05-01,18
2016-05-02,6
2016-05-03,6
2016-05-04,6
2016-05-05,6
2016-05-06,6
2016-05-07,18
2016-05-08,18
2016-05-09,6
2016-05-10,6
2016-05-11,6
2016-05-12,6
2016-05-13,6
2016-05-14,18
2016-05-15,18
2016-05-16,6
2016-05-17,6
2016-05-18,6
2016-05-19,6
2016-05-20,6
2016-05-21,18
2016-05-22,18
2016-05-23,6
2016-05-24,6
2016-05-25,6
2016-05-26,6
2016-05-27,6
2016-05-28,18
2016-05-29,18
2016-05-30,6
2016-05-31,6
2016-06-01,7
2016-06-02,7
2016-06-03,7
2016-06-04,19
2016-06-05,19
2016-06-06,7
