,A,B,C,D,E,F1,G1,H1,I1,J1,K1,L,M,N,O,P,Q,H,G,F,K,I,J
2016-01-01 00:00:00,-2.01,-3.823,-2.187,-5.756,-4.546,-10.293,-0.133,-5.12,-1.179,-2.909,-7.187,-4.291,-10.082,-5.429,-6.68,-6.737,-0.354,-16.907,-14.17,-15.547,-6.68,-6.737,-0.354
2016-01-01 01:00:00,-2.719,-5.016,-2.672,-7.289,-5.313,-8.138,-0.131,-4.702,-1.565,-3.917,-8.089,-2.26,-12.163,-7.2,-6.856,-9.085,-0.188,-17.549,-17.645,-12.971,-6.856,-9.085,-0.188
2016-01-01 02:00:00,-2.734,-5.015,-2.819,-7.286,-5.324,-8.667,-0.131,-4.687,-1.578,-3.908,-8.49,-2.258,-12.183,-7.453,-6.866,-9.063,-0.167,-18.201,-17.669,-13.485,-6.866,-9.063,-0.167
2016-01-01 03:00:00,-2.736,-5.015,-2.79,-7.284,-5.288,-9.927,-0.131,-4.672,-1.58,-3.879,-8.49,-2.255,-12.085,-7.429,-6.873,-8.997,-0.155,-18.174,-17.544,-14.73,-6.873,-8.997,-0.155
2016-01-01 04:00:00,-2.723,-5.015,-2.717,-7.278,-5.214,-11.277,-0.131,-4.658,-1.579,-3.848,-8.366,-2.254,-11.871,-7.273,-6.865,-8.926,-0.153,-17.893,-17.298,-16.066,-6.865,-8.926,-0.153
2016-01-01 05:00:00,-2.701,-5.016,-2.667,-7.268,-5.065,-12.716,-0.131,-5.786,-1.575,-3.798,-8.077,-2.253,-11.367,-7.164,-6.855,-8.81,-0.152,-17.494,-16.74,-18.633,-6.855,-8.81,-0.152
2016-01-01 06:00:00,-2.661,-5.018,-2.618,-7.257,-4.877,-14.386,-0.132,-7.388,-1.931,-3.749,-7.9,-2.252,-11.684,-7.073,-9.123,-8.695,-0.16,-17.224,-17.365,-21.907,-9.123,-8.695,-0.16
2016-01-01 07:00:00,-2.804,-5.05,-3.08,-6.986,-4.692,-21.639,-0.004,-9.186,-2.62,-4.285,-8.554,-2.92,-10.757,-6.982,-14.953,-9.938,-0.238,-18.456,-17.662,-30.829,-14.953,-9.938,-0.238
2016-01-01 08:00:00,-4.023,-0.725,-4.178,-7.219,-5.172,-30.366,-6.222,-10.586,-3.73,-5.301,-7.883,-8.78,-10.175,-9.789,-29.129,-12.295,-51.179,-26.452,-19.205,-47.174,-29.129,-12.295,-51.179
2016-01-01 09:00:00,-7.949,-7.52,-7.406,-10.121,-8.579,-90.69,-27.254,-10.892,-5.492,-7.964,-6.606,-20.53,-8.195,-32.49,-43.116,-18.472,-222.841,-59.625,-21.651,-128.837,-43.116,-18.472,-222.841
2016-01-01 10:00:00,-12.79,-53.022,-12.891,-20.128,-18.441,-56.019,-52.762,-17.613,-6.842,-11.598,-4.043,-39.726,-2.478,-41.163,-49.787,-26.9,-758.184,-84.933,-20.918,-126.394,-49.787,-26.9,-758.184
2016-01-01 11:00:00,-13.903,-94.539,-20.293,-46.57,-17.343,-97.516,-56.991,-20.99,-7.853,-12.705,-0.729,-63.93,-0.076,-29.462,-61.73,-29.468,-825.332,-94.121,-20.634,-175.497,-61.73,-29.468,-825.332
2016-01-01 12:00:00,-12.25,-79.206,-14.411,-72.621,-13.458,-134.824,-51.95,-15.893,-9.025,-12.155,-0.398,-78.539,-0.089,-27.61,-79.551,-28.191,-661.417,-106.547,-21.27,-202.667,-79.551,-28.191,-661.417
2016-01-01 13:00:00,-10.606,-61.121,-12.069,-75.173,-13.619,-84.199,-49.385,-17.588,-10.367,-12.786,-0.391,-78.964,-0.103,-27.842,-104.352,-29.654,-524.377,-107.197,-23.255,-151.171,-104.352,-29.654,-524.377
2016-01-01 14:00:00,-10.286,-47.554,-13.589,-114.036,-13.616,-65.168,-67.608,-30.316,-15.648,-15.152,-0.384,-108.866,-0.117,-31.994,-165.838,-35.142,-404.84,-141.245,-30.917,-163.092,-165.838,-35.142,-404.84
2016-01-01 15:00:00,-13.906,-36.723,-28.38,-79.183,-19.81,-70.906,-85.317,-48.509,-11.036,-19.963,-0.377,-116.498,-0.133,-49.091,-98.232,-46.301,-382.182,-165.965,-31.132,-204.732,-98.232,-46.301,-382.182
2016-01-01 16:00:00,-23.585,-55.416,-28.824,-33.608,-30.262,-80.422,-84.283,-70.96,-8.385,-26.762,-0.369,-124.389,-0.136,-69.833,-84.652,-62.069,-479.329,-194.592,-35.282,-235.665,-84.652,-62.069,-479.329
2016-01-01 17:00:00,-17.256,-64.034,-9.967,-32.526,-42.921,-71.14,-79.456,-67.805,-8.37,-34.555,-0.36,-113.821,-0.139,-82.309,-93.392,-80.145,-433.344,-196.489,-43.065,-218.4,-93.392,-80.145,-433.344
2016-01-01 18:00:00,-10.017,-45.593,-13.388,-28.542,-44.522,-57.703,-67.888,-60.399,-8.422,-24.863,-0.351,-57.035,-0.142,-48.255,-97.57,-57.665,-268.001,-105.64,-33.427,-185.991,-97.57,-57.665,-268.001
2016-01-01 19:00:00,-6.98,-26.467,-12.019,-24.541,-20.906,-45.675,-45.942,-44.908,-8.823,-12.884,-0.341,-31.81,-0.146,-10.715,-107.634,-29.883,-139.227,-42.867,-21.853,-136.524,-107.634,-29.883,-139.227
2016-01-01 20:00:00,-4.502,-12.653,-8.072,-20.504,-8.466,-35.049,-13.233,-23.236,-6.59,-3.217,-0.332,-21.448,-0.149,-2.017,-84.388,-7.461,-71.965,-23.798,-9.956,-71.518,-84.388,-7.461,-71.965
2016-01-01 21:00:00,-2.648,-6.741,-4.908,-16.831,-5.457,-25.829,-6.693,-9.776,-4.148,-0.724,-0.322,-16.048,-0.151,-1.85,-59.557,-1.68,-64.893,-18.22,-5.023,-42.298,-59.557,-1.68,-64.893
2016-01-01 22:00:00,-2.029,-5.397,-2.841,-13.757,-6.105,-18.509,-6.51,-7.266,-2.269,-1.016,-0.309,-13.309,-0.15,-2.076,-39.045,-2.357,-56.965,-15.694,-3.435,-32.285,-39.045,-2.357,-56.965
2016-01-01 23:00:00,-2.056,-6.817,-2.194,-12.681,-6.089,-17.109,-7.361,-6.374,-1.143,-1.658,-0.228,-12.847,-3.866,-5.016,-19.286,-3.827,-63.765,-18.091,-6.667,-30.845,-19.286,-3.827,-63.765
2016-01-02 00:00:00,-1.872,-8.835,-0.895,-10.946,-4.795,-13.676,-9.122,-3.968,-1.523,-2.775,-0.092,-10.083,-11.3,-10.742,-12.169,-6.382,-79.678,-20.917,-15.599,-26.766,-12.169,-6.382,-79.678
2016-01-02 01:00:00,-1.842,-9.922,-0.249,-10.098,-4.203,-10.533,-10.166,-1.635,-1.308,-3.34,-0.023,-6.621,-15.079,-13.854,-8.726,-6.302,-85.813,-20.498,-19.727,-22.334,-8.726,-6.302,-85.813
2016-01-02 02:00:00,-1.971,-9.95,-0.248,-10.1,-4.16,-10.303,-10.335,-1.329,-1.098,-3.342,-0.023,-6.599,-15.086,-14.116,-8.819,-5.369,-86.225,-20.738,-19.525,-21.967,-8.819,-5.369,-86.225
2016-01-02 03:00:00,-1.948,-9.848,-0.248,-10.059,-4.159,-10.143,-10.267,-1.153,-1.016,-3.342,-0.023,-6.571,-15.071,-14.313,-8.842,-4.834,-86.491,-20.907,-19.429,-21.564,-8.842,-4.834,-86.491
2016-01-02 04:00:00,-1.904,-9.549,-0.248,-10.005,-4.159,-10.105,-10.066,-1.079,-1.073,-3.29,-0.024,-6.832,-15.025,-14.287,-8.825,-4.678,-86.732,-21.142,-19.388,-21.25,-8.825,-4.678,-86.732
2016-01-02 05:00:00,-1.861,-9.18,-0.247,-9.937,-4.153,-11.708,-10.008,-1.323,-1.367,-3.163,-0.025,-7.481,-14.931,-14.054,-8.796,-5.147,-86.862,-21.56,-19.46,-23.038,-8.796,-5.147,-86.862
