,A,B,C,D,E,F1,G1,H1,I1,J1,K1,L,M,N,O,P,Q,H,G,F,K,I,J
2016-01-01 00:00:00,-31.5,-226.368,-55.794,-104.318,-100.402,-182.611,-124.435,-67.451,-21.785,-31.344,-61.315,-153.569,-163.44,-146.899,-212.623,-93.288,-781.96,-361.783,-216.569,-374.496,-212.623,-93.288,-781.96
2016-01-01 01:00:00,-34.295,-198.649,-43.68,-81.7,-96.1,-143.8,-126.025,-72.045,-19.279,-31.085,-73.981,-133.972,-161.68,-113.233,-159.15,-97.498,-667.04,-321.187,-212.044,-341.871,-159.15,-97.498,-667.04
2016-01-01 02:00:00,-32.938,-186.111,-42.369,-77.385,-93.57,-146.262,-123.399,-63.491,-17.971,-30.585,-66.066,-132.127,-161.09,-112.663,-141.515,-83.016,-655.045,-310.856,-209.645,-333.151,-141.515,-83.016,-655.045
2016-01-01 03:00:00,-33.516,-173.983,-37.423,-74.859,-95.091,-148.745,-123.273,-61.486,-16.793,-27.363,-65.015,-135.083,-164.06,-115.41,-134.48,-74.828,-579.809,-315.508,-208.217,-333.503,-134.48,-74.828,-579.809
2016-01-01 04:00:00,-35.262,-167.906,-31.556,-75.587,-110.916,-160.142,-136.218,-64.602,-16.469,-26.557,-67.575,-155.595,-170.408,-121.639,-138.213,-77.253,-488.401,-344.809,-213.435,-360.962,-138.213,-77.253,-488.401
2016-01-01 05:00:00,-37.345,-165.129,-30.444,-76.319,-126.258,-174.784,-151.72,-73.008,-16.148,-27.491,-72.783,-179.037,-173.597,-126.463,-152.284,-88.318,-464.215,-378.283,-217.236,-399.512,-152.284,-88.318,-464.215
2016-01-01 06:00:00,-39.886,-162.374,-42.633,-78.521,-140.572,-189.976,-167.576,-85.348,-16.322,-31.938,-79.904,-203.851,-213.644,-166.247,-169.571,-99.413,-609.974,-450.002,-261.904,-442.9,-169.571,-99.413,-609.974
2016-01-01 07:00:00,-43.343,-168.1,-52.507,-79.999,-155.572,-202.168,-183.655,-96.887,-16.891,-44.886,-87.381,-230.275,-260.074,-197.367,-191.057,-107.888,-744.418,-515.023,-321.851,-482.71,-191.057,-107.888,-744.418
2016-01-01 08:00:00,-52.054,-168.744,-61.119,-115.739,-171.331,-298.354,-200.479,-116.941,-15.856,-64.065,-97.827,-258.308,-308.487,-226.636,-218.793,-143.865,-853.889,-582.77,-388.408,-615.774,-218.793,-143.865,-853.889
2016-01-01 09:00:00,-52.956,-160.439,-69.548,-145.828,-182.546,-380.706,-218.017,-165.285,-16.614,-81.449,-135.664,-275.635,-361.027,-257.926,-259.198,-177.696,-956.239,-669.225,-459.09,-764.008,-259.198,-177.696,-956.239
2016-01-01 10:00:00,-51.928,-179.584,-76.576,-179.249,-172.321,-425.644,-222.077,-197.048,-18.896,-94.152,-165.242,-260.211,-414.114,-279.714,-304.039,-182.53,-1055.536,-705.166,-527.162,-844.769,-304.039,-182.53,-1055.536
2016-01-01 11:00:00,-50.841,-200.189,-81.921,-198.068,-172.476,-460.254,-213.137,-191.276,-20.334,-96.082,-167.142,-261.819,-445.113,-286.757,-340.999,-173.63,-1118.617,-715.718,-561.529,-864.666,-340.999,-173.63,-1118.617
2016-01-01 12:00:00,-49.739,-193.984,-87.982,-201.15,-174.864,-479.738,-216.511,-182.052,-19.624,-95.507,-160.843,-264.582,-448.263,-289.577,-340.698,-166.307,-1187.409,-715.002,-563.394,-878.3,-340.698,-166.307,-1187.409
2016-01-01 13:00:00,-49.786,-179.665,-98.055,-191.191,-175.758,-474.354,-217.388,-174.386,-17.971,-95.227,-155.647,-265.442,-449.516,-289.549,-309.099,-173.444,-1269.303,-710.639,-562.715,-866.128,-309.099,-173.444,-1269.303
2016-01-01 14:00:00,-50.599,-168.316,-105.622,-193.894,-176.652,-430.259,-217.864,-189.824,-16.52,-104.492,-167.564,-266.303,-448.704,-288.434,-320.31,-196.308,-1607.035,-722.301,-569.715,-837.947,-320.31,-196.308,-1607.035
2016-01-01 15:00:00,-51.132,-190.838,-103.545,-191.334,-177.545,-405.391,-218.341,-213.499,-18.513,-108.07,-186.646,-264.66,-444.968,-286.831,-326.03,-222.401,-1582.635,-738.138,-571.551,-837.231,-326.03,-222.401,-1582.635
2016-01-01 16:00:00,-51.668,-244.074,-103.488,-202.494,-173.713,-482.045,-215.272,-201.264,-24.568,-110.908,-177.666,-257.625,-477.584,-321.42,-318.762,-250.125,-1581.974,-756.71,-613.06,-898.581,-318.762,-250.125,-1581.974
2016-01-01 17:00:00,-49.789,-310.07,-101.526,-218.566,-174.607,-558.919,-214.7,-188.601,-32.565,-110.373,-167.564,-261.845,-556.803,-375.686,-308.562,-279.48,-1581.314,-805.095,-699.742,-962.22,-308.562,-279.48,-1581.314
2016-01-01 18:00:00,-46.044,-347.475,-92.725,-214.319,-161.798,-615.466,-210.315,-170.675,-38.364,-105.119,-153.101,-236.862,-492.162,-319.827,-276.398,-289.686,-1456.295,-709.79,-635.645,-996.456,-276.398,-289.686,-1456.295
2016-01-01 19:00:00,-39.912,-323.947,-71.194,-174.608,-123.171,-575.583,-182.646,-149.451,-34.503,-92.03,-135.978,-179.045,-363.011,-223.723,-236.89,-234.641,-1165.829,-538.746,-489.544,-907.68,-236.89,-234.641,-1165.829
2016-01-01 20:00:00,-29.188,-297.002,-50.272,-115.387,-87.195,-506.4,-137.888,-102.496,-31.542,-76.262,-89.565,-128.975,-289.085,-179.059,-210.13,-173.75,-749.201,-397.599,-396.889,-746.784,-210.13,-173.75,-749.201
2016-01-01 21:00:00,-20.907,-280.857,-37.392,-99.689,-83.784,-374.993,-117.489,-64.369,-30.065,-58.856,-61.934,-124.372,-291.726,-185.695,-178.108,-115.49,-496.861,-372.001,-380.648,-556.851,-178.108,-115.49,-496.861
2016-01-01 22:00:00,-27.384,-275.892,-40.904,-96.929,-79.78,-264.158,-110.76,-57.449,-29.795,-40.231,-61.566,-113.53,-279.398,-177.002,-149.25,-88.873,-561.191,-352.099,-349.424,-432.367,-149.25,-88.873,-561.191
2016-01-01 23:00:00,-24.356,-232.631,-43.431,-87.32,-75.988,-241.288,-90.223,-80.269,-27.233,-34.903,-83.946,-111.273,-209.208,-142.217,-141.666,-106.345,-739.384,-337.436,-271.344,-411.78,-141.666,-106.345,-739.384
2016-01-02 00:00:00,-21.204,-167.315,-42.746,-82.989,-77.081,-217.808,-74.261,-92.341,-25.044,-34.02,-92.909,-122.68,-192.892,-143.29,-156.988,-109.307,-972.857,-358.879,-251.956,-384.41,-156.988,-109.307,-972.857
