,ALB,AUT,BEL,BGR,BIH,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MKD,MNE,NLD,NOR,POL,PRT,ROU,SRB,SVK,SVN,SWE
2015-01-01 00:00:00,-770.0,-7025.4,-8023.7,-4376.2,-1435.4,-6183.5,-765.0,-5813.5,-41618.7,-3802.9,-24951.6,-730.9,-10956.1,-61607.8,-28851.0,-5617.4,-2076.7,-3938.3,-3696.1,-26072.0,-891.0,-1037.2,-503.9,-1634.3,-648.2,-10033.1,-14638.8,-16031.4,-5725.4,-5738.5,-6198.1,-2981.9,-1328.6,-12444.300000000001
2015-01-01 01:00:00,-659.1,-6651.6,-7548.6,-4009.1,-1303.5,-6023.6,-689.0,-5820.1,-39313.3,-3624.4,-22754.1,-702.2,-10811.9,-60037.4,-27230.8,-5522.9,-1986.5,-3724.7,-3547.5,-23761.100000000002,-858.5,-1012.5999999999999,-482.2,-1432.9,-572.9,-9523.6,-14185.5,-15014.8,-5471.0,-5532.0,-5710.9,-2843.9,-1236.6,-12124.1
2015-01-01 02:00:00,-606.4,-6388.9,-7152.4,-3806.3,-1227.8,-5833.7,-640.9,-5707.2,-38067.2,-3538.4,-21361.6,-686.9,-10741.8,-58287.0,-26135.3,-5264.4,-1929.5,-3486.1,-3440.4,-22263.600000000002,-843.8,-976.6,-470.2,-1263.8,-516.9,-9174.9,-13920.0,-14330.4,-5069.3,-5438.3,-5267.2,-2757.9,-1186.7,-11929.800000000001
2015-01-01 03:00:00,-583.7,-6223.7,-6897.3,-3714.4,-1197.7,-5704.5,-614.8,-5578.5,-37916.6,-3520.1000000000004,-20672.0,-686.0,-10779.7,-54926.7,-24774.0,-5089.1,-1891.1,-3368.0,-3377.3,-21438.899999999998,-848.8,-967.9000000000001,-478.9,-1164.6,-487.1,-9004.0,-13789.5,-14043.4,-4698.3,-5402.1,-4950.5,-2735.5,-1167.1,-11896.699999999999
2015-01-01 04:00:00,-592.8,-6484.8,-6849.2,-3714.5,-1210.2,-5503.4,-608.1,-5638.5,-38703.9,-3564.3,-20419.8,-718.1,-10999.3,-52869.8,-23643.4,-5145.5,-1915.6,-3452.3,-3343.7,-21224.599999999995,-905.2,-945.9,-513.7,-1127.2,-471.6,-8968.1,-13823.199999999999,-14076.6,-4460.9,-5446.5,-4810.4,-2790.9,-1173.5,-12031.5
2015-01-01 05:00:00,-677.3,-7361.0,-7181.6,-3874.0,-1304.7,-5673.2,-630.0,-6014.7,-41333.0,-3803.1,-20852.3,-841.6,-11572.0,-52542.2,-22859.199999999997,-5664.0,-2029.7,-3797.8,-3348.5,-22358.7,-1123.0,-956.3000000000001,-618.2,-1140.9,-479.4,-9261.7,-14246.400000000001,-14683.4,-4328.1,-5614.9,-4957.0,-2936.4,-1276.4,-12639.699999999999
2015-01-01 06:00:00,-919.6,-8595.9,-8111.0,-4393.5,-1524.5,-6154.5,-696.8,-6946.7,-47713.5,-4452.1,-22898.0,-996.8,-11902.4,-52852.7,-23573.1,-6623.200000000001,-2314.2,-4570.8,-3467.5,-26366.8,-1335.6,-981.5,-753.4,-1233.8,-528.5,-10232.5,-15473.6,-16992.4,-4274.8,-6061.9,-5486.8,-3307.9,-1561.6,-14085.2
2015-01-01 07:00:00,-1250.6,-9443.0,-8935.3,-4992.5,-1756.6,-6916.8,-787.8,-7419.1,-53855.0,-5170.1,-26701.5,-1099.7,-12080.0,-53236.0,-28100.9,-7180.4,-2617.8,-4876.4,-3763.1,-31452.5,-1458.5,-1068.0,-843.4,-1261.5,-594.6,-11907.9,-17053.9,-18897.0,-4113.1,-6751.9,-6054.3,-3476.2,-1749.1,-15502.2
2015-01-01 08:00:00,-1365.2,-9753.1,-9290.7,-5426.7,-1937.0,-7340.7,-849.8,-7541.2,-56328.0,-5385.6,-29478.1,-1122.8,-12018.5,-55213.4,-33917.6,-7869.7,-2805.6,-4944.9,-3947.9,-35187.600000000006,-1499.6,-1138.1,-876.9,-1373.5,-667.0,-13009.7,-17559.4,-19810.2,-4079.1,-7083.1,-6399.2,-3591.0,-1814.8,-15814.5
2015-01-01 09:00:00,-1373.1,-9867.8,-9367.6,-5613.1,-2011.8,-7401.3,-861.2,-7682.2,-56731.6,-5385.5,-30674.9,-1126.2,-11904.8,-57738.4,-35596.299999999996,-8137.4,-2882.6,-5022.2,-3993.6,-37221.5,-1502.0,-1149.5,-882.2,-1455.1,-706.0,-13348.5,-17398.6,-20431.0,-4468.2,-7197.0,-6575.4,-3650.7,-1818.9,-15759.8
2015-01-01 10:00:00,-1341.9,-9954.4,-9364.2,-5530.1,-2019.4,-7411.0,-859.8,-7681.4,-57556.1,-5409.4,-31363.1,-1120.0,-11834.4,-59701.4,-36121.0,-8285.5,-2867.7,-5070.9,-4029.9,-37581.200000000004,-1490.2,-1147.6,-868.7,-1487.1,-714.2,-13397.2,-17291.699999999997,-20516.5,-4904.7,-7158.5,-6582.7,-3635.5,-1798.6,-15835.7
2015-01-01 11:00:00,-1306.8,-9838.5,-9434.1,-5405.8,-2009.1,-7310.0,-872.3,-7661.2,-58221.3,-5351.0,-31221.5,-1097.0,-11787.6,-60679.4,-35908.5,-8363.6,-2897.3,-5117.9,-4039.9,-37300.59999999999,-1456.5,-1169.1,-833.3,-1497.1,-709.4,-13379.1,-17122.5,-20699.7,-5290.1,-7046.1,-6530.1,-3639.3,-1797.5,-15768.500000000002
